Code,Name,Type,"Thermal", "Gross",Net,Operator,"NSSS supplier","Construction start","Grid connection","Commercial operation",Shut down
GB -12,WINFRITH SGHWR,SGHWR,318,100,92,UKAEA,ICL/FE,1963-5,1967-12,1968-1,1990-9
GB -13A,WYLFA-1,GCR,1650,530,490,ML,EE/B&W/T,1963-9,1971-1,1971-11,2015-12
GB -13B,WYLFA-2,GCR,1920,540,490,ML,EE/B&W/T,1963-9,1971-7,1972-1,2012-4
UA -25,CHERNOBYL-1,LWGR,3200,800,740,MTE,FAEA,1970-3,1977-9,1978-5,1996-11
UA -26,CHERNOBYL-2,LWGR,3200,1000,925,MTE,FAEA,1973-2,1978-12,1979-5,1991-10
UA -42,CHERNOBYL-3,LWGR,3200,1000,925,MTE,FAEA,1976-3,1981-12,1982-6,2000-12
UA -43,CHERNOBYL-4,LWGR,3200,1000,925,MTE,FAEA,1979-4,1983-12,1984-3,1986-4
US -155,BIG ROCK POINT,BWR,240,71,67,CPC,GE,1960-5,1962-12,1963-3,1997-8
US -014,BONUS,BWR,50,18,17,DOE/PRWR,GNEPRWRA,1960-1,1964-8,1965-9,1968-6
US -302,CRYSTAL RIVER-3,PWR,2568,890,860,PROGRESS,B&W,1968-9,1977-1,1977-3,2013-2
US -144,CVTR,PHWR,65,19,17,CVPA,WH,1960-1,1963-12,1963-12,1967-1
US -10,DRESDEN-1,BWR,700,207,197,EXELON,GE,1956-5,1960-4,1960-7,1978-10
US -011,ELK RIVER,BWR,58,24,22,RCPA,AC,1959-1,1963-8,1964-7,1968-2
US -16,FERMI-1,FBR,200,65,61,DTEDISON,UEC,1956-8,1966-8,1966-8,1972-11
US -285,FORT CALHOUN-1,PWR,1500,512,482,EXELON,CE,1968-6,1973-8,1973-9,2016-10
US -267,FORT ST. VRAIN,HTGR,842,342,330,PSCC,GA,1968-9,1976-12,1979-7,1989-8
US -018,GE VALLECITOS,BWR,50,24,24,GE,GE,1956-1,1957-10,1957-10,1963-12
US -213,HADDAM NECK,PWR,1825,603,560,CYAPC,WH,1964-5,1967-8,1968-1,1996-12
US -077,HALLAM,X,256,84,75,AEC/NPPD,GE,1959-1,1963-9,1963-11,1964-9
US -133,HUMBOLDT BAY,BWR,220,65,63,PG&E,GE,1960-11,1963-4,1963-8,1976-7
US -013,INDIAN POINT-1,PWR,615,277,257,ENTERGY,B&W,1956-5,1962-9,1962-10,1974-10
US -305,KEWAUNEE,PWR,1772,595,566,DOMINION,WH,1968-8,1974-4,1974-6,2013-5
US -409,LACROSSE,BWR,165,55,48,DPC,AC,1963-3,1968-4,1969-11,1987-4
US -309,MAINE YANKEE,PWR,2630,900,860,MYAPC,CE,1968-10,1972-11,1972-12,1997-8
US -245,MILLSTONE-1,BWR,2011,684,641,DOMINION,GE,1966-5,1970-11,1971-3,1998-7
US -219,OYSTER CREEK,BWR,1930,652,619,EXELON,GE,1964-12,1969-9,1969-12,2018-9
US -130,PATHFINDER,BWR,220,63,59,NMC,AC,1959-1,1966-7,1966-8,1967-10
US -171,PEACH BOTTOM-1,HTGR,115,42,40,EXELON,GA,1962-2,1967-1,1967-6,1974-11
US -293,PILGRIM-1,BWR,2028,711,677,ENTERGY,GE,1968-8,1972-7,1972-12,2019-5
US -012,PIQUA,X,46,12,12,CofPiqua,GE,1960-1,1963-7,1963-11,1966-1
US -312,RANCHO SECO-1,PWR,2772,917,873,SMUD,B&W,1969-4,1974-10,1975-4,1989-6
US -206,SAN ONOFRE-1,PWR,1347,456,436,SCE,WH,1964-5,1967-7,1968-1,1992-11
US -361,SAN ONOFRE-2,PWR,3438,1127,1070,SCE,CE,1974-3,1982-9,1983-8,2013-6
US -362,SAN ONOFRE-3,PWR,3438,1127,1080,SCE,CE,1974-3,1983-9,1984-4,2013-6
US -146,SAXTON,PWR,24,3,3,SNEC,GE,1960-1,1967-3,1967-3,1972-5
US -001,SHIPPINGPORT,PWR,236,68,60,DOE DUQU,WH,1954-1,1957-12,1958-5,1982-10
US -322,SHOREHAM,BWR,2436,849,820,LIPA,GE,1972-11,1986-8,1986-8,1989-5
US -289,THREE MILE ISLAND-1,PWR,2568,880,819,EXELON,B&W,1968-5,1974-6,1974-9,2019-9
US -320,THREE MILE ISLAND-2,PWR,2772,959,880,GPU,B&W,1969-11,1978-4,1978-12,1979-3
US -344,TROJAN,PWR,3411,1155,1095,PORTGE,WH,1970-2,1975-12,1976-5,1992-11
US -271,VERMONT YANKEE,BWR,1912,635,605,ENTERGY,GE,1967-12,1972-9,1972-11,2014-12
US -29,YANKEE NPS,PWR,600,180,167,YAEC,WH,1957-11,1960-11,1961-7,1991-10
US -295,ZION-1,PWR,3250,1085,1040,EXELON,WH,1968-12,1973-6,1973-12,1998-2
US -304,ZION-2,PWR,3250,1085,1040,EXELON,WH,1968-12,1973-12,1974-9,1998-2
,DUANE ARNOLD-1,,,,,,,,,,2020-10
,FESSENHEIM-1,,,,,,,,,,2020-2
,FESSENHEIM-2,,,,,,,,,,2020-6
,INDIAN POINT-2,,,,,,,,,,2020-4
,LENINGRAD-2,,,,,,,,,,2020-11
,RINGHALS-1,,,,,,,,,,2020-12
,KUOSHENG-1,,,,,,,,,,2021-7
