name,power,shutdown,lat,lon,elevation,type,mox
CEFR,65.0,2100-01,39.739435,116.03016,52.2,FBR,0
CERNAVODA-1,2180.0,2100-01,44.32138,28.057702,96.0,PHWR,0
CERNAVODA-2,2180.0,2100-01,44.3216,28.0615,96.0,PHWR,0
CHANGJIANG-1,1930.0,2100-01,19.460768,108.900042,5.8,PWR,0
CHANGJIANG-2,1930.0,2100-01,19.46006,108.900421,5.8,PWR,0
CHASNUPP-1,999.0,2100-01,32.391975,71.461825,158.6,PWR,0
CHASNUPP-2,999.0,2100-01,32.390321,71.464279,158.6,PWR,0
CHASNUPP-3,999.0,2100-01,32.386578,71.469694,157.2,PWR,0
CHASNUPP-4,999.0,2100-01,32.384958,71.472015,157.2,PWR,0
CHINON B-1,2785.0,2100-01,47.229513,0.166342,80.4,PWR,1
CHINON B-2,2785.0,2100-01,47.229593,0.165172,80.4,PWR,1
CHINON B-3,2785.0,2100-01,47.223712,0.169484,80.4,PWR,1
CHINON B-4,2785.0,2100-01,47.22439,0.169667,80.4,PWR,1
CHINSHAN-1,1840.0,2100-01,25.28595,121.58774,88.9,BWR,0
CHINSHAN-2,1840.0,2100-01,25.28691,121.58804,88.9,BWR,0
CHOOZ B-1,4270.0,2100-01,50.089946,4.788995,262.6,PWR,0
CHOOZ B-2,4270.0,2100-01,50.090255,4.791217,262.6,PWR,0
CIVAUX-1,4270.0,2100-01,46.456456,0.651144,135.8,PWR,0
CIVAUX-2,4270.0,2100-01,46.45514,0.651933,135.8,PWR,0
CLINTON-1,3473.0,2100-01,40.17233,-88.835139,179.7,BWR,0
COFRENTES,3237.0,2100-01,39.213176,-1.051063,429.9,BWR,0
COLUMBIA,3486.0,2100-01,46.4713,-119.333,112.0,BWR,0
COMANCHE PEAK-1,3612.0,2100-01,32.3007,-97.7865,214.6,PWR,0
COMANCHE PEAK-2,3612.0,2100-01,32.3007,-97.7855,214.6,PWR,0
COOK-1,3304.0,2100-01,41.975931,-86.565035,141.6,PWR,0
COOK-2,3468.0,2100-01,41.975316,-86.56528,141.6,PWR,0
COOPER,2419.0,2100-01,40.361983,-95.64136,254.1,BWR,0
CRUAS-1,2785.0,2100-01,44.631345,4.754855,176.9,PWR,0
CRUAS-2,2785.0,2100-01,44.631942,4.755644,176.9,PWR,0
CRUAS-3,2785.0,2100-01,44.633652,4.757362,176.9,PWR,0
CRUAS-4,2785.0,2100-01,44.634293,4.757984,176.9,PWR,0
CRYSTAL RIVER-3,2568.0,2013-02,28.9659,-82.6971,-27.8,PWR,0
DAMPIERRE-1,2785.0,2100-01,47.733976,2.515295,177.6,PWR,1
DAMPIERRE-2,2785.0,2100-01,47.733449,2.516196,177.6,PWR,1
DAMPIERRE-3,2785.0,2100-01,47.732778,2.517431,177.6,PWR,1
DAMPIERRE-4,2785.0,2100-01,47.732287,2.518376,177.6,PWR,1
DARLINGTON-1,2776.0,2100-01,43.869074,-78.726955,44.2,PHWR,0
DARLINGTON-2,2776.0,2100-01,43.869082,-78.725796,44.2,PHWR,0
DARLINGTON-3,2776.0,2100-01,43.869159,-78.723843,44.2,PHWR,0
DARLINGTON-4,2776.0,2100-01,43.869213,-78.722717,44.2,PHWR,0
DAVIS BESSE-1,2817.0,2100-01,41.59692,-83.08664,137.2,PWR,0
DAYA BAY-1,2905.0,2100-01,22.597924,114.543957,22.4,PWR,0
DAYA BAY-2,2905.0,2100-01,22.59805,114.543107,22.4,PWR,0
DIABLO CANYON-1,3411.0,2100-01,35.212203,-120.854967,60.0,PWR,0
DIABLO CANYON-2,3411.0,2100-01,35.211391,-120.854511,60.0,PWR,0
DOEL-1,1311.0,2100-01,51.322322,4.26116,46.9,PWR,0
DOEL-2,1311.0,2100-01,51.323035,4.261244,46.9,PWR,0
DOEL-3,3054.0,2100-01,51.324126,4.257989,46.9,PWR,1
DOEL-4,2988.0,2100-01,51.325767,4.257226,46.9,PWR,0
DRESDEN-2,2957.0,2100-01,41.389374,-88.269858,132.4,BWR,0
DRESDEN-3,2957.0,2100-01,41.38937,-88.270464,132.4,BWR,0
DUANE ARNOLD-1,1912.0,2020-10,42.101,-91.776,220.5,BWR,0
DUKOVANY-1,1444.0,2100-01,49.086481,16.145243,419.7,PWR,0
DUKOVANY-2,1444.0,2100-01,49.08612,16.146402,419.7,PWR,0
DUKOVANY-3,1444.0,2100-01,49.085462,16.149277,0.0,PWR,0
DUKOVANY-4,1444.0,2100-01,49.08516,16.150479,419.7,PWR,0
DUNGENESS A-1,840.0,2006-12,50.9126,0.961755,38.0,GCR,0
DUNGENESS A-2,840.0,2006-12,50.9126,0.961755,38.0,GCR,0
DUNGENESS B-1,1500.0,2100-01,50.913834,0.960319,50.0,GCR,0
DUNGENESS B-2,1500.0,2100-01,50.913832,0.959601,50.0,GCR,0
EMBALSE,2064.0,2100-01,-32.231615,-64.443673,633.5,PHWR,0
EMSLAND,3850.0,2100-01,52.471754,7.320612,78.0,PWR,0
FANGCHENGGANG-1,2905.0,2100-01,21.667196,108.562939,-17.9,PWR,0
FANGCHENGGANG-2,2905.0,2100-01,21.666409,108.562776,-17.9,PWR,0
FANGJIASHAN-1,2905.0,2100-01,30.441312,120.942132,11.8,PWR,0
FANGJIASHAN-2,2905.0,2100-01,30.441652,120.941339,11.8,PWR,0
FARLEY-1,2775.0,2100-01,31.222741,-85.111801,32.6,PWR,0
FARLEY-2,2775.0,2100-01,31.223518,-85.111793,45.0,PWR,0
FERMI-2,3486.0,2100-01,41.9627,-83.2566,137.5,BWR,0
FESSENHEIM-1,2785.0,2020-02,47.903,7.56437,252.1,PWR,0
FESSENHEIM-2,2785.0,2020-06,47.9029,7.56506,252.1,PWR,0
FITZPATRICK,2536.0,2100-01,43.5222673,-76.398391,37.7,BWR,0
FLAMANVILLE-1,3817.0,2100-01,49.535914,-1.882177,98.7,PWR,0
FLAMANVILLE-2,3817.0,2100-01,49.537194,-1.881598,98.7,PWR,0
FORSMARK-1,2927.0,2100-01,60.402285,18.17412,35.6,BWR,0
FORSMARK-2,3253.0,2100-01,60.40349,18.17234,35.6,BWR,0
FORSMARK-3,3300.0,2100-01,60.405449,18.161681,35.6,BWR,0
FORT CALHOUN-1,1500.0,2016-10,41.5202,-96.076,288.6,PWR,0
FUGEN ATR,557.0,2003-03,35.754444444444445,136.01638888888888,108.8,HWLWR,1
FUKUSHIMA-DAIICHI-1,1380.0,2011-05,37.4217,141.031,58.6,BWR,0
FUKUSHIMA-DAIICHI-2,2381.0,2011-05,37.4217,141.032,58.6,BWR,0
FUKUSHIMA-DAIICHI-3,2381.0,2011-05,37.4217,141.033,59.8,BWR,0
FUKUSHIMA-DAIICHI-4,2381.0,2011-05,37.4217,141.034,59.8,BWR,0
FUKUSHIMA-DAIICHI-5,2381.0,2013-12,37.429,141.031,58.6,BWR,0
FUKUSHIMA-DAIICHI-6,3293.0,2013-12,37.429,141.031,59.8,BWR,0
FUKUSHIMA-DAINI-1,3293.0,2019-09,37.3153,141.024,50.6,BWR,0
FUKUSHIMA-DAINI-2,3293.0,2019-09,37.3153,141.025,50.6,BWR,0
FUKUSHIMA-DAINI-3,3293.0,2019-09,37.3153,141.026,50.6,BWR,0
FUKUSHIMA-DAINI-4,3293.0,2019-09,37.3153,141.027,50.6,BWR,0
FUQING-1,2905.0,2100-01,25.436734,119.43696,12.1,PWR,0
FUQING-2,2905.0,2100-01,25.437309,119.437598,12.1,PWR,0
FUQING-3,2905.0,2100-01,25.439844,119.440799,12.1,PWR,0
FUQING-4,2905.0,2100-01,25.440351,119.441482,12.1,PWR,0
GENKAI-1,1650.0,2015-04,33.5179,129.837,50.9,PWR,0
GENKAI-2,1650.0,2019-04,33.5174,129.837,50.9,PWR,0
GENKAI-3,3423.0,2100-01,33.51758,129.83377,50.9,PWR,0
GENKAI-4,3423.0,2100-01,33.51661,129.83281,50.9,PWR,0
GENTILLY-2,2156.0,2012-12,46.3941,-72.3553,-22.3,PHWR,0
GINNA,1775.0,2100-01,43.277669,-77.308806,43.0,PWR,0
GOESGEN,3002.0,2100-01,47.365984,7.966582,470.2,PWR,1
GOLFECH-1,3817.0,2100-01,44.106578,0.846293,104.7,PWR,0
GOLFECH-2,3817.0,2100-01,44.10721,0.844435,104.7,PWR,0
GRAFENRHEINFELD,3765.0,2015-06,49.984,10.1857,259.1,PWR,1
GRAND GULF-1,4408.0,2100-01,32.007272,-91.048515,28.4,BWR,0
GRAVELINES-1,2785.0,2100-01,51.015849,2.137939,45.0,PWR,1
GRAVELINES-2,2785.0,2100-01,51.015309,2.137039,45.0,PWR,1
GRAVELINES-3,2785.0,2100-01,51.014663,2.135678,45.0,PWR,1
GRAVELINES-4,2785.0,2100-01,51.014123,2.134609,45.0,PWR,1
GRAVELINES-5,2785.0,2100-01,51.013425,2.133395,45.0,PWR,0
GRAVELINES-6,2785.0,2100-01,51.012792,2.132138,45.0,PWR,0
GROHNDE,3900.0,2100-01,52.035034,9.40996,123.3,PWR,1
GUNDREMMINGEN-B,3840.0,2017-12,48.5153,10.4037,478.5,BWR,1
GUNDREMMINGEN-C,3840.0,2100-01,48.515593,10.40281,478.5,BWR,1
HAIYANG-1,3415.0,2100-01,36.708124,121.376332,4.4,PWR,0
HAIYANG-2,3415.0,2100-01,36.708365,121.378662,4.4,PWR,0
HAMAOKA-1,1593.0,2009-01,34.62019135383515,138.1515835619441,59.1,BWR,0
HAMAOKA-2,2436.0,2009-01,34.62019135383515,138.1515835619441,59.1,BWR,0
HAMAOKA-3,3293.0,2100-01,34.62151,138.14459,59.1,BWR,0
HAMAOKA-4,3293.0,2100-01,34.623065,138.142373,59.1,BWR,0
HAMAOKA-5,3926.0,2100-01,34.623634,138.142071,41.8,BWR,0
HANBIT-1,2787.0,2100-01,35.41454,126.42182,72.2,PWR,0
HANBIT-2,2787.0,2100-01,35.41319,126.41953,72.2,PWR,0
HANBIT-3,2825.0,2100-01,35.41186,126.41725,81.3,PWR,0
HANBIT-4,2825.0,2100-01,35.4105,126.41498,81.3,PWR,0
HANBIT-5,2825.0,2100-01,35.40914,126.41267,72.2,PWR,0
HANBIT-6,2825.0,2100-01,35.4078,126.41041,72.2,PWR,0
HANUL-1,2775.0,2100-01,37.09578,129.37844,82.0,PWR,0
HANUL-2,2775.0,2100-01,37.0952,129.37913,66.9,PWR,0
HANUL-3,2825.0,2100-01,37.09342,129.38136,82.0,PWR,0
HANUL-4,2825.0,2100-01,37.09225,129.38274,82.0,PWR,0
HANUL-5,2825.0,2100-01,37.09041,129.38475,82.0,PWR,0
HANUL-6,2825.0,2100-01,37.08919,129.38616,82.0,PWR,0
HARRIS-1,2900.0,2100-01,35.633537,-78.955875,48.6,PWR,0
HARTLEPOOL A-1,1500.0,2100-01,54.63504,-1.18014,54.3,GCR,0
HARTLEPOOL A-2,1500.0,2100-01,54.63467,-1.18041,54.3,GCR,0
HATCH-1,2804.0,2100-01,31.934629,-82.344176,-2.1,BWR,0
HATCH-2,2804.0,2100-01,31.934243,-82.344168,14.9,BWR,0
HEYSHAM A-1,1500.0,2100-01,54.029821,-2.917623,59.7,GCR,0
HEYSHAM A-2,1500.0,2100-01,54.029953,-2.917066,59.7,GCR,0
HEYSHAM B-1,1550.0,2100-01,54.027586,-2.915819,59.7,GCR,0
HEYSHAM B-2,1550.0,2100-01,54.027834,-2.914649,59.7,GCR,0
HIGASHI DORI 1 (TOHOKU),3293.0,2100-01,41.188303,141.389733,98.1,BWR,0
HINKLEY POINT B-1,1494.0,2100-01,51.209195,-3.127432,62.1,GCR,0
HINKLEY POINT B-2,1494.0,2100-01,51.208606,-3.12739,62.1,GCR,0
HONGYANHE-1,2905.0,2100-01,39.796667,121.473412,19.9,PWR,0
HONGYANHE-2,2905.0,2100-01,39.796658,121.474476,19.9,PWR,0
HONGYANHE-3,2905.0,2100-01,39.796676,121.477396,19.9,PWR,0
HONGYANHE-4,2905.0,2100-01,39.796667,121.478448,19.9,PWR,0
HOPE CREEK-1,3840.0,2100-01,39.466561,-75.53751,-34.1,BWR,0
HUNTERSTON B-1,1496.0,2100-01,55.721,-4.89341,73.4,GCR,0
HUNTERSTON B-2,1496.0,2100-01,55.7205,-4.89341,73.4,GCR,0
IGNALINA-1,4800.0,2004-12,55.6002,26.4798,169.6,LWGR,0
IGNALINA-2,4800.0,2009-12,55.6001869381405,26.479817459766128,169.6,LWGR,0
IKATA-1,1650.0,2016-05,33.491,132.309,169.2,PWR,0
IKATA-2,1650.0,2018-05,33.491,132.31,169.2,PWR,0
IKATA-3,2660.0,2100-01,33.490803,132.310851,169.2,PWR,0
INDIAN POINT-2,3216.0,2020-04,41.2693,-73.9497,-13.5,PWR,0
INDIAN POINT-3,3216.0,2100-01,41.2688,-73.9497,-13.5,PWR,0
ISAR-1,2575.0,2011-08,48.607,12.2958,424.9,BWR,0
ISAR-2,3950.0,2100-01,48.605649,12.293054,424.9,PWR,1
JOSE CABRERA-1,510.0,2006-04,40.34916666666667,-1.1155555555555556,702.0,PWR,0
KAIGA-1,801.0,2100-01,14.865111,74.43663,-25.2,PHWR,0
KAIGA-2,801.0,2100-01,14.865903,74.436638,-25.2,PHWR,0
KAIGA-3,800.0,2100-01,14.865036,74.440166,-25.2,PHWR,0
KAIGA-4,800.0,2100-01,14.865819,74.440192,-66.0,PHWR,0
KAKRAPAR-1,801.0,2100-01,21.236068,73.349698,-13.4,PHWR,0
KAKRAPAR-2,801.0,2100-01,21.236608,73.350513,-13.4,PHWR,0
KALININ-1,3000.0,2100-01,57.9028,35.0571,171.1,PWR,0
KALININ-2,3000.0,2100-01,57.9039,35.0586,171.1,PWR,0
KALININ-3,3200.0,2100-01,57.9051,35.0606,171.1,PWR,0
KALININ-4,3200.0,2100-01,57.9051,35.0606,171.1,PWR,0
KANUPP-1,337.0,2100-01,24.845313,66.788981,0.0,PHWR,0
KASHIWAZAKI KARIWA-1,3293.0,2100-01,37.424315,138.594398,93.6,BWR,0
KASHIWAZAKI KARIWA-2,3293.0,2100-01,37.425605,138.594915,93.6,BWR,0
KASHIWAZAKI KARIWA-3,3293.0,2100-01,37.427081,138.594575,93.6,BWR,0
KASHIWAZAKI KARIWA-4,3293.0,2100-01,37.429003,138.595431,93.6,BWR,0
KASHIWAZAKI KARIWA-5,3293.0,2100-01,37.436471,138.599877,93.6,BWR,0
KASHIWAZAKI KARIWA-6,3926.0,2100-01,37.437631,138.600358,93.6,BWR,0
KASHIWAZAKI KARIWA-7,3926.0,2100-01,37.438655,138.601012,93.6,BWR,0
KEWAUNEE,1772.0,2013-05,44.4696,-87.498,147.4,PWR,0
KHMELNITSKI-1,3000.0,2100-01,50.301997,26.649846,241.0,PWR,0
KHMELNITSKI-2,3000.0,2100-01,50.302504,26.647783,241.0,PWR,0
KOEBERG-1,2775.0,2100-01,-33.676567,18.43144,48.5,PWR,0
KOEBERG-2,2775.0,2100-01,-33.677314,18.431854,48.5,PWR,0
KOLA-1,1375.0,2100-01,67.465609,32.478782,155.8,PWR,0
KOLA-2,1375.0,2100-01,67.465439,32.480163,155.8,PWR,0
KOLA-3,1375.0,2100-01,67.464983,32.483542,155.8,PWR,0
KOLA-4,1375.0,2100-01,67.464683,32.485795,155.8,PWR,0
KORI-1,1729.0,2017-06,35.3212,129.295,34.2,PWR,0
KORI-2,1882.0,2100-01,35.3212,129.296,31.3,PWR,0
KORI-3,2912.0,2100-01,35.3212,129.297,31.3,PWR,0
KORI-4,2912.0,2100-01,35.3212,129.298,31.3,PWR,0
KOZLODUY-3,1375.0,2006-12,43.746647,23.769614,80.9,PWR,0
KOZLODUY-4,1375.0,2006-12,43.746647,23.769614,80.9,PWR,0
KOZLODUY-5,3000.0,2100-01,43.746171,23.768749,80.9,PWR,0
KOZLODUY-6,3120.0,2100-01,43.74764,23.769612,80.9,PWR,0
KRSKO,1994.0,2100-01,45.938291,15.515425,297.0,PWR,0
KRUEMMEL,3690.0,2011-08,53.4104,10.4097,68.2,BWR,0
KUDANKULAM-1,3000.0,2100-01,8.169114,77.713998,-63.9,PWR,0
KUDANKULAM-2,3000.0,2100-01,8.168648,77.711869,-63.9,PWR,0
KUOSHENG-1,2894.0,2021-07,25.20274,121.66301,88.9,BWR,0
KUOSHENG-2,2894.0,2100-01,25.20287,121.66194,88.9,BWR,0
KURSK-1,3200.0,2100-01,51.678439,35.608686,172.0,LWGR,0
KURSK-2,3200.0,2100-01,51.677454,35.606878,172.0,LWGR,0
KURSK-3,3200.0,2100-01,51.675852,35.60399,172.0,LWGR,0
KURSK-4,3200.0,2100-01,51.675328,35.602998,172.0,LWGR,0
LAGUNA VERDE-1,2317.0,2100-01,19.718604,-96.406356,-12.6,BWR,0
LAGUNA VERDE-2,2317.0,2100-01,19.719777,-96.405956,-12.6,BWR,0
LASALLE-1,3546.0,2100-01,41.245852,-88.668225,170.5,BWR,0
LASALLE-2,3546.0,2100-01,41.245404,-88.668211,170.5,BWR,0
LEIBSTADT,3600.0,2100-01,47.601577,8.18266,432.8,BWR,0
LENINGRAD 2-1,3200.0,2100-01,59.830122,29.055833,32.7,PWR,0
LENINGRAD-1,3200.0,2018-12,59.8403,29.0274,32.7,LWGR,0
LENINGRAD-2,3200.0,2020-11,59.8403,29.0284,32.7,LWGR,0
LENINGRAD-3,3200.0,2100-01,59.8391,29.034044,32.7,LWGR,0
LENINGRAD-4,3200.0,2100-01,59.840953,29.035586,32.7,LWGR,0
LIMERICK-1,3515.0,2100-01,40.224213,-75.58772,25.6,BWR,0
LIMERICK-2,3515.0,2100-01,40.224197,-75.587039,25.6,BWR,0
LINGAO-1,2905.0,2100-01,22.60547,114.551939,40.0,PWR,0
LINGAO-2,2905.0,2100-01,22.604906,114.551328,40.0,PWR,0
LINGAO-3,2905.0,2100-01,22.608848,114.554689,-3.4,PWR,0
LINGAO-4,2905.0,2100-01,22.608277,114.554086,-3.4,PWR,0
LOVIISA-1,1500.0,2100-01,60.370352,26.345822,15.7,PWR,0
LOVIISA-2,1500.0,2100-01,60.371214,26.346536,15.7,PWR,0
MAANSHAN-1,2822.0,2100-01,21.95758,120.7523,21.95833,PWR,0
MAANSHAN-2,2822.0,2100-01,21.95853,120.75151,21.95833,PWR,0
MADRAS-1,801.0,2100-01,11.522399,79.750773,-90.5,PHWR,0
MADRAS-2,801.0,2100-01,11.521338,79.750961,-90.5,PHWR,0
MCGUIRE-1,3411.0,2100-01,35.433282,-80.948773,35.4325,PWR,0
MCGUIRE-2,3411.0,2100-01,35.433123,-80.94785,35.4325,PWR,0
MIHAMA-1,1031.0,2015-04,35.7013,135.962,34.9,PWR,0
MIHAMA-2,1456.0,2015-04,35.7008,135.962,34.9,PWR,0
MIHAMA-3,2440.0,2100-01,35.703908,135.960151,34.9,PWR,0
MILLSTONE-2,2700.0,2100-01,41.309736,-72.167566,-33.1,PWR,0
MILLSTONE-3,3650.0,2100-01,41.311461,-72.167678,-27.9,PWR,0
MOCHOVCE-1,1471.0,2100-01,48.258895,18.45827,271.2,PWR,0
MOCHOVCE-2,1471.0,2100-01,48.259802,18.458163,271.2,PWR,0
MONTICELLO,2004.0,2100-01,45.333673,-93.849064,262.3,BWR,0
MUEHLEBERG,1097.0,2019-12,46.969,7.26622,569.0,BWR,0
NARORA-1,801.0,2100-01,28.158204,78.410337,128.9,PHWR,0
NARORA-2,801.0,2100-01,28.157591,78.410968,128.9,PHWR,0
NECKARWESTHEIM-1,2497.0,2011-08,49.0394,9.17555,255.1,PWR,1
NECKARWESTHEIM-2,3850.0,2100-01,49.040609,9.175708,255.1,PWR,0
NINE MILE POINT-1,1850.0,2100-01,43.521546,-76.410651,35.9,BWR,0
NINE MILE POINT-2,3988.0,2100-01,43.521947,-76.408373,35.0,BWR,0
NINGDE-1,2905.0,2100-01,27.046761,120.288888,48.3,PWR,0
NINGDE-2,2905.0,2100-01,27.046386,120.288117,48.3,PWR,0
NINGDE-3,2905.0,2100-01,27.045049,120.285565,48.3,PWR,0
NINGDE-4,2905.0,2100-01,27.044692,120.284724,11.5,PWR,0
NOGENT-1,3817.0,2100-01,48.516918,3.519415,115.1,PWR,0
NOGENT-2,3817.0,2100-01,48.517152,3.517172,115.1,PWR,0
NORTH ANNA-1,2940.0,2100-01,38.060601,-77.789606,57.8,PWR,0
NORTH ANNA-2,2940.0,2100-01,38.060332,-77.790506,57.8,PWR,0
NOVOVORONEZH 2-1,3200.0,2100-01,51.265595,39.21175,122.6,PWR,0
NOVOVORONEZH 2-2,3200.0,2100-01,51.264034,39.210783,122.6,PWR,0
NOVOVORONEZH-3,1375.0,2016-12,51.274223,39.200776,122.6,PWR,0
NOVOVORONEZH-4,1375.0,2100-01,51.27478,39.201115,122.6,PWR,0
NOVOVORONEZH-5,3000.0,2100-01,51.281704,39.210064,122.6,PWR,0
OBRIGHEIM,1050.0,2005-05,49.364444,9.076389,274.9,PWR,0
OCONEE-1,2568.0,2100-01,34.794723,-82.899106,229.6,PWR,0
OCONEE-2,2568.0,2100-01,34.794127,-82.898841,229.6,PWR,0
OCONEE-3,2568.0,2100-01,34.793389,-82.898518,229.6,PWR,0
OHI-1,3423.0,2018-03,35.5437,135.652,54.1,PWR,0
OHI-2,3423.0,2018-03,35.5432,135.652,54.1,PWR,0
OHI-3,3423.0,2100-01,35.541028,135.652786,54.1,PWR,0
OHI-4,3423.0,2100-01,35.54028,135.65167,54.1,PWR,0
OLDBURY A-1,730.0,2012-02,51.6492,-2.56709,59.7,GCR,0
OLDBURY A-2,660.0,2011-06,51.6488,-2.56709,59.7,GCR,0
OLKILUOTO-1,2500.0,2100-01,61.236023,21.44289,20.9,BWR,0
OLKILUOTO-2,2500.0,2100-01,61.23696,21.446309,20.9,BWR,0
ONAGAWA-1,1593.0,2018-12,38.4,141.504,62.5,BWR,0
